"ordinal","reviewClass","lane","reason","id","team","slug","assetIndex","before","parts","roles","assetRisks","duplicateAgainstExisting"
"12","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","WAS-2015-0425","washington-commanders","dashon-goldson-and-2016-7th-round-pick-232nd-overall-steven-daniels-tampa-bay-buccaneers-2","0","Dashon Goldson and 2016 7th round pick (232nd overall, Steven Daniels)","Dashon Goldson || 2016 7th round pick (232nd overall, Steven Daniels)","clean_player::Dashon Goldson || clean_pick::2016 7th round pick (232nd overall, Steven Daniels)","","Dashon Goldson"
"13","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","PIT-2019-0364","tampa-bay-buccaneers","2021-6th-round-pick-216th-overall-quincy-roche-tampa-bay-buccaneers-2019","0","Jerald Hawkins and 2021 7th round pick (251st overall, Chris Wilcox)","Jerald Hawkins || 2021 7th round pick (251st overall, Chris Wilcox)","clean_player::Jerald Hawkins || clean_pick::2021 7th round pick (251st overall, Chris Wilcox)","","Jerald Hawkins"
"14","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","TB-2020-0247","tampa-bay-buccaneers","rob-gronkowski-new-england-patriots-2020","3","Rob Gronkowski and 2020 7th round pick (241st overall, Chapelle Russell)","Rob Gronkowski || 2020 7th round pick (241st overall, Chapelle Russell)","clean_player::Rob Gronkowski || clean_pick::2020 7th round pick (241st overall, Chapelle Russell)","","Rob Gronkowski"
"15","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","TB-2022-0256","indianapolis-colts","2023-6th-round-pick-181st-overall-indianapolis-colts-2022","3","Grant Stuard and 2023 7th round pick (236th overall, Jake Witt)","Grant Stuard || 2023 7th round pick (236th overall, Jake Witt)","clean_player::Grant Stuard || clean_pick::2023 7th round pick (236th overall, Jake Witt)","","Grant Stuard"
"16","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern; proposed part already exists elsewhere in bucket","PIT-2025-0390","dallas-cowboys","2026-3rd-round-pick-76th-overall-drew-allar-dallas-cowboys-2025","2","George Pickens and a 2027 6th round pick","George Pickens || a 2027 6th round pick","clean_player::George Pickens || pickish_manual::a 2027 6th round pick","","George Pickens"
"17","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","MIN-1984-0149","minnesota-vikings","billy-shields-later-changed-to-1985-third-round-pick-66-tim-long-via-contingency","1","Billy Shields contingency converted to 1985 third-round pick (#66-Tim Long)","Billy Shields contingency converted to 1985 third-round pick (#66-Tim Long)","pickish_manual::Billy Shields contingency converted to 1985 third-round pick (#66-Tim Long)","",""
"18","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","DEN-2005-05-19-0282","carolina-panthers","todd-sauerbrun-carolina-panthers-2005","0","Jason Baker and undisclosed 2005 draft pick","Jason Baker || undisclosed 2005 draft pick","clean_player::Jason Baker || pickish_manual::undisclosed 2005 draft pick","",""
"19","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","NYJ-2006-0197","new-york-jets","john-abraham-to-falcons-broncos-sent-2006-1st-round-pick-29th-overall-nick-mangold-atlanta","0","John Abraham to Falcons. Broncos sent 2006 1st round pick (29th overall, Nick Mangold)","John Abraham to Falcons. Broncos sent 2006 1st round pick (29th overall, Nick Mangold)","pickish_manual::John Abraham to Falcons. Broncos sent 2006 1st round pick (29th overall, Nick Mangold)","",""
"20","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","IND-2012-0333","philadelphia-eagles","moise-fokou-and-greg-lloyd-philadelphia-eagles-2012","0","Kevin Thomas and a conditional 2012 pick (not conveyed)","Kevin Thomas || a conditional 2012 pick (not conveyed)","clean_player::Kevin Thomas || pickish_manual::a conditional 2012 pick (not conveyed)","",""
"21","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","NYG-2025-0312","miami-dolphins","2026-6th-round-pick-192nd-overall-j-c-davis-miami-dolphins-2025","0","Darren Waller and a conditional 2027 pick (7th round)","Darren Waller || a conditional 2027 pick (7th round)","clean_player::Darren Waller || pickish_manual::a conditional 2027 pick (7th round)","",""
"22","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","KC-2025-0298","san-francisco-49ers","a-2027-6th-round-pick-san-francisco-49ers-2025","0","Skyy Moore and a 2027 7th round pick","Skyy Moore || a 2027 7th round pick","clean_player::Skyy Moore || pickish_manual::a 2027 7th round pick","",""
"23","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","MIN-2025-08-20-0322","new-york-jets","draft-pick-trade-new-york-jets-2025","0","Harrison Phillips and a 2027 7th round pick","Harrison Phillips || a 2027 7th round pick","clean_player::Harrison Phillips || pickish_manual::a 2027 7th round pick","",""
"24","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","NYJ-2025-0318","kansas-city-chiefs","a-conditional-2027-pick-6th-round-kansas-city-chiefs-2025","0","Derrick Nnadi and a conditional 2027 pick (7th round)","Derrick Nnadi || a conditional 2027 pick (7th round)","clean_player::Derrick Nnadi || pickish_manual::a conditional 2027 pick (7th round)","",""
"25","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","NO-2025-0341","new-orleans-saints","saints-2025-08-26-dallas-cowboys-asim-richards-and-a-2028-7th-round-pick","0","Asim Richards and a 2028 7th round pick","Asim Richards || a 2028 7th round pick","clean_player::Asim Richards || pickish_manual::a 2028 7th round pick","",""
"26","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","CLE-2025-0473","cleveland-browns","cam-robinson-and-a-2027-7th-round-pick-houston-texans-2025-473","0","Cam Robinson and a 2027 7th round pick","Cam Robinson || a 2027 7th round pick","clean_player::Cam Robinson || pickish_manual::a 2027 7th round pick","",""
"27","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","PHI-2025-0476","philadelphia-eagles","eagles-2025-10-29-new-york-jets-0476","0","Michael Carter and a 2027 7th round pick","Michael Carter || a 2027 7th round pick","clean_player::Michael Carter || pickish_manual::a 2027 7th round pick","",""
"28","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","PHI-2025-0477","philadelphia-eagles","eagles-2025-11-01-baltimore-ravens-0477","0","Jaire Alexander and a 2027 7th round pick","Jaire Alexander || a 2027 7th round pick","clean_player::Jaire Alexander || pickish_manual::a 2027 7th round pick","",""
"29","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","NO-2026-0345","houston-texans","saints-2026-03-10-houston-texans-a-2028-6th-round-pick","0","Kai Kroeger and a 2028 7th round pick","Kai Kroeger || a 2028 7th round pick","clean_player::Kai Kroeger || pickish_manual::a 2028 7th round pick","",""
"30","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","NE-2026-0464","houston-texans","a-2027-6th-round-pick-houston-texans-2026","0","Marte Mapu and a 2027 7th round pick","Marte Mapu || a 2027 7th round pick","clean_player::Marte Mapu || pickish_manual::a 2027 7th round pick","",""
