"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","bundle","playerText","pickText","projectedAssetsToCreate","projectedNetAssetChange","warnings","errors"
"16","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","IND-1998-0291","baltimore-ravens","1998-3rd-round-pick-71st-overall-e-g-green-and-1998-4th-round-pick-104th-overall","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jim Harbaugh and 1998 4th round pick (93rd overall subsequently traded, Steve McKinney)","Jim Harbaugh","1998 4th round pick (93rd overall subsequently traded, Steve McKinney)","0","0","",""
"17","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NE-1998-0256","los-angeles-rams","undisclosed-unknown-compensation-los-angeles-rams-1998","bundle risks: explanatory_or_contingent|transaction_verb_leak","Mike Jones and 2000 5th round pick (161st overall subsequently traded, Jeff Marriott)","Mike Jones","2000 5th round pick (161st overall subsequently traded, Jeff Marriott)","0","0","",""
"18","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIN-1999-09-29-0197","cleveland-browns","jerry-ball-cleveland-browns-1999","bundle risks: explanatory_or_contingent|transaction_verb_leak","Stalin Colinet and 2000 7th round pick (232nd overall subsequently traded, Jeff Harris)","Stalin Colinet","2000 7th round pick (232nd overall subsequently traded, Jeff Harris)","0","0","",""
"19","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","JAX-2002-0016","jacksonville-jaguars","wali-rainer-cleveland-browns-2002","bundle risks: explanatory_or_contingent|transaction_verb_leak","Wali Rainer and 2002 3rd round pick (79th overall subsequently traded, Rashad Bauman)","Wali Rainer","2002 3rd round pick (79th overall subsequently traded, Rashad Bauman)","0","0","",""
"20","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","PHI-2003-0289","green-bay-packers","eagles-2003-03-03-green-bay-packers-0289","bundle risks: explanatory_or_contingent|transaction_verb_leak","Al Harris and 2003 4th round pick (127th overall subsequently traded, Sam Aiken)","Al Harris","2003 4th round pick (127th overall subsequently traded, Sam Aiken)","0","0","",""
"21","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NE-2005-0288","new-england-patriots","duane-starks-and-2005-5th-round-pick-145th-overall-subsequently-traded-dan-orlovsky-arizon","bundle risks: explanatory_or_contingent|transaction_verb_leak","Duane Starks and 2005 5th round pick (145th overall subsequently traded, Dan Orlovsky)","Duane Starks","2005 5th round pick (145th overall subsequently traded, Dan Orlovsky)","0","0","",""
"22","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","DEN-2005-05-19-0282","carolina-panthers","todd-sauerbrun-carolina-panthers-2005","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"23","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NYJ-2006-0197","new-york-jets","john-abraham-to-falcons-broncos-sent-2006-1st-round-pick-29th-overall-nick-mangold-atlanta","bundle risks: transaction_verb_leak|sentence_fragment_leak","John Abraham to Falcons. Broncos sent 2006 1st round pick (29th overall, Nick Mangold)","John Abraham to Falcons. Broncos sent","2006 1st round pick (29th overall, Nick Mangold)","0","0","",""
"24","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DEN-2007-03-02-0290","denver-broncos","dre-bly-and-2007-6th-round-pick-176th-overall-subsequently-traded-rufus-alexander-detroit","bundle risks: explanatory_or_contingent|transaction_verb_leak","Dre' Bly and 2007 6th round pick (176th overall subsequently traded, Rufus Alexander)","Dre' Bly","2007 6th round pick (176th overall subsequently traded, Rufus Alexander)","0","0","",""
"25","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NYJ-2007-0208","new-york-jets","thomas-jones-and-2007-2nd-round-pick-63rd-overall-subsequently-traded-brandon-jackson-chic","bundle risks: explanatory_or_contingent|transaction_verb_leak","Thomas Jones and 2007 2nd round pick (63rd overall subsequently traded, Brandon Jackson)","Thomas Jones","2007 2nd round pick (63rd overall subsequently traded, Brandon Jackson)","0","0","",""
"26","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIN-2008-04-23-0223","minnesota-vikings","jared-allen-kansas-city-chiefs-2008","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jared Allen and 2009 6th round pick (187th overall subsequently traded, Brandon Underwood)","Jared Allen","2009 6th round pick (187th overall subsequently traded, Brandon Underwood)","0","0","",""
"27","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DAL-2008-0296","dallas-cowboys","roy-williams-and-2009-7th-round-pick-detroit-lions-2008","bundle risks: explanatory_or_contingent|transaction_verb_leak","Roy Williams and 2009 7th round pick (210th overall subsequently traded, Vance Walker)","Roy Williams","2009 7th round pick (210th overall subsequently traded, Vance Walker)","0","0","",""
"28","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","SEA-2009-03-16-0139","seattle-seahawks","cory-redding-detroit-lions-2009","bundle risks: explanatory_or_contingent|transaction_verb_leak","Cory Redding and 2009 5th round pick (137th overall subsequently traded, Jason Phillips)","Cory Redding","2009 5th round pick (137th overall subsequently traded, Jason Phillips)","0","0","",""
"29","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DEN-2009-08-17-0306","denver-broncos","le-kevin-smith-and-2010-7th-round-pick-231st-overall-subsequently-traded-selvish-capers-ne","bundle risks: explanatory_or_contingent|transaction_verb_leak","Le Kevin Smith and 2010 7th round pick (231st overall subsequently traded, Selvish Capers)","Le Kevin Smith","2010 7th round pick (231st overall subsequently traded, Selvish Capers)","0","0","",""
"30","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DET-2010-0347","detroit-lions","alphonso-smith-and-2011-7th-round-pick-pick-forfeited-due-to-tampering-denver-br","bundle risks: explanatory_or_contingent","Alphonso Smith and 2011 7th round pick (pick forfeited due to tampering)","Alphonso Smith","2011 7th round pick (pick forfeited due to tampering)","0","0","",""
"31","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DET-2010-0347","denver-broncos","alphonso-smith-and-2011-7th-round-pick-pick-forfeited-due-to-tampering-denver-br","bundle risks: explanatory_or_contingent|transaction_verb_leak|sentence_fragment_leak","Dan Gronkowski and 2011 6th round pick (186th overall subsequently traded, D.J. Smith)","Dan Gronkowski","2011 6th round pick (186th overall subsequently traded, D.J. Smith)","0","0","",""
"32","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","PHI-2010-0345","new-england-patriots","eagles-2010-09-04-new-england-patriots-0345","bundle risks: explanatory_or_contingent|transaction_verb_leak","Tracy White and 2012 7th round pick (223rd overall subsequently traded, Travis Lewis)","Tracy White","2012 7th round pick (223rd overall subsequently traded, Travis Lewis)","0","0","",""
"33","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIN-2010-0227","minnesota-vikings","randy-moss-new-england-patriots-2010","bundle risks: explanatory_or_contingent|transaction_verb_leak","Randy Moss and 2012 7th round pick (223rd overall subsequently traded, Travis Lewis)","Randy Moss","2012 7th round pick (223rd overall subsequently traded, Travis Lewis)","0","0","",""
"34","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIA-2011-0244","miami-dolphins","reggie-bush-saints-2011","bundle risks: explanatory_or_contingent|transaction_verb_leak","Reggie Bush and 2012 6th round pick (196th overall subsequently traded, Jonte Green)","Reggie Bush","2012 6th round pick (196th overall subsequently traded, Jonte Green)","0","0","",""
"35","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","IND-2012-0328","indianapolis-colts","winston-justice-and-2012-6th-round-pick-187th-overall-subsequently-traded-josh-b","bundle risks: explanatory_or_contingent|transaction_verb_leak","Winston Justice and 2012 6th round pick (187th overall subsequently traded, Josh Bush)","Winston Justice","2012 6th round pick (187th overall subsequently traded, Josh Bush)","0","0","",""
"36","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DEN-2012-03-26-0323","new-york-jets","2012-4th-round-pick-108th-overall-philip-blake-and-2012-6th-round-pick-188th-overall-danny","bundle risks: explanatory_or_contingent|transaction_verb_leak","Tim Tebow and 2012 7th round pick (232nd overall subsequently traded, Greg Scruggs)","Tim Tebow","2012 7th round pick (232nd overall subsequently traded, Greg Scruggs)","0","0","",""
"37","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","IND-2012-0333","philadelphia-eagles","moise-fokou-and-greg-lloyd-philadelphia-eagles-2012","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"38","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DET-2015-0358","detroit-lions","haloti-ngata-and-2015-7th-round-pick-231st-overall-subsequently-traded-joey-iose","bundle risks: explanatory_or_contingent|transaction_verb_leak","Haloti Ngata and 2015 7th round pick (231st overall subsequently traded, Joey Iosefa)","Haloti Ngata","2015 7th round pick (231st overall subsequently traded, Joey Iosefa)","0","0","",""
"39","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIN-2015-03-10-0249","buffalo-bills","draft-pick-trade-buffalo-bills-2015","bundle risks: explanatory_or_contingent|transaction_verb_leak","Matt Cassel and 2015 6th round pick (187th overall subsequently traded, Evan Spencer)","Matt Cassel","2015 6th round pick (187th overall subsequently traded, Evan Spencer)","0","0","",""
